YEAR,MONTH,Datetime,Rainfull
2013,10,01-10-2013,5.48
2013,11,01-11-2013,2.09
2013,12,01-12-2013,8.270000000000001
2014,1,01-01-2014,1.68
2014,2,01-02-2014,1.88
2014,3,01-03-2014,2.89
2014,4,01-04-2014,7.9
2014,5,01-05-2014,2.25
2014,6,01-06-2014,6.29
2014,7,01-07-2014,1.94
2014,8,01-08-2014,2.6
2014,9,01-09-2014,2.1999999999999997
2014,10,01-10-2014,4.62
2014,11,01-11-2014,2.26
2014,12,01-12-2014,2.42
2015,1,01-01-2015,2.52
2015,2,01-02-2015,2.3200000000000003
2015,3,01-03-2015,7.57
2015,4,01-04-2015,5.33
2015,5,01-05-2015,5.72
2015,6,01-06-2015,1.77
2015,7,01-07-2015,8.12
2015,8,01-08-2015,2.18
2015,9,01-09-2015,1.26
2015,10,01-10-2015,1.7999999999999998
2015,11,01-11-2015,8.82
2015,12,01-12-2015,6.88
2016,1,01-01-2016,1.69
2016,2,01-02-2016,2.0300000000000002
2016,3,01-03-2016,8.27
2016,4,01-04-2016,2.6900000000000004
2016,5,01-05-2016,4.1899999999999995
2016,6,01-06-2016,1.27
2016,7,01-07-2016,7.7
2016,8,01-08-2016,7.31
2016,9,01-09-2016,0.97
2016,10,01-10-2016,0.19
2016,11,01-11-2016,2.9299999999999997
2016,12,01-12-2016,5.8100000000000005
2017,1,01-01-2017,2.0
2017,2,01-02-2017,1.65
2017,3,01-03-2017,5.54
2017,4,01-04-2017,7.59
2017,5,01-05-2017,4.5
2017,6,01-06-2017,4.17
2017,7,01-07-2017,1.72
2017,8,01-08-2017,3.1
2017,9,01-09-2017,1.06
2017,10,01-10-2017,2.52
2017,11,01-11-2017,1.28
2017,12,01-12-2017,3.0500000000000003
2018,1,01-01-2018,2.58
2018,2,01-02-2018,8.32
2018,3,01-03-2018,4.41
2018,4,01-04-2018,5.71
2018,5,01-05-2018,4.4399999999999995
2018,6,01-06-2018,5.15
2018,7,01-07-2018,1.74
2018,8,01-08-2018,2.74
2018,9,01-09-2018,4.59
2018,10,01-10-2018,3.66
2018,11,01-11-2018,4.74
2018,12,01-12-2018,4.31
2019,1,01-01-2019,3.95
2019,2,01-02-2019,10.02
2019,3,01-03-2019,5.06
2019,4,01-04-2019,6.24
2019,5,01-05-2019,7.01
2019,6,01-06-2019,5.5
2019,7,01-07-2019,5.36
2019,8,01-08-2019,4.32
2019,9,01-09-2019,0.43
2019,10,01-10-2019,6.89
2019,11,01-11-2019,4.98
2019,12,01-12-2019,2.42
2020,1,01-01-2020,4.94
2020,2,01-02-2020,6.65
2020,3,01-03-2020,7.91
2020,4,01-04-2020,2.9
2020,5,01-05-2020,5.32
2020,6,01-06-2020,5.34
2020,7,01-07-2020,3.5300000000000002
2020,8,01-08-2020,7.14
2020,9,01-09-2020,2.85
2020,10,01-10-2020,8.4
2020,11,01-11-2020,2.4699999999999998
2020,12,01-12-2020,2.39
2021,1,01-01-2021,4.32
2021,2,01-02-2021,1.97
2021,3,01-03-2021,4.49
2021,4,01-04-2021,5.42
2021,5,01-05-2021,4.930000000000001
2021,6,01-06-2021,4.02
2021,7,01-07-2021,7.17
2021,8,01-08-2021,3.45
2021,9,01-09-2021,2.4899999999999998
2021,10,01-10-2021,5.03
2021,11,01-11-2021,1.87
2021,12,01-12-2021,3.7
2022,1,01-01-2022,5.36
2022,2,01-02-2022,5.06
2022,3,01-03-2022,3.7800000000000002
2022,4,01-04-2022,5.68
2022,5,01-05-2022,7.63
2022,6,01-06-2022,2.59
2022,7,01-07-2022,1.95
2022,8,01-08-2022,2.9
2022,9,01-09-2022,1.06
2022,10,01-10-2022,1.18
2022,11,01-11-2022,2.17
2022,12,01-12-2022,4.37
2023,1,01-01-2023,6.97
2023,2,01-02-2023,3.8
2023,3,01-03-2023,8.11
2023,4,01-04-2023,3.04
2023,5,01-05-2023,2.53
2023,6,01-06-2023,0.74
2023,7,01-07-2023,3.99
2023,8,01-08-2023,13.690000000000001
2023,9,01-09-2023,1.7
2023,10,01-10-2023,3.4699999999999998
2023,11,01-11-2023,0.0
